indx,T,PE,rU,nSi,nC,nacc_insSi,nacc_delSi,nacc_insC,nacc_delC,GammaO,Eslab,EbulkAgO,EbulkO,Phi,A
178,,-2425.5692,,128,131,0,0,3,0,0,0,0,0,0,5
179,,-2425.5775,,128,131,0,0,3,0,0,0,0,0,0,5
180,,-2425.747,,128,131,0,0,3,0,0,0,0,0,0,5
181,,-2425.9912,,128,131,0,0,3,0,0,0,0,0,0,5
182,,-2426.1237,,128,131,0,0,3,0,0,0,0,0,0,5
183,,-2426.4519,,128,131,0,0,3,0,0,0,0,0,0,5
184,,-2426.4694,,128,131,0,0,3,0,0,0,0,0,0,5
185,,-2426.636,,128,131,0,0,3,0,0,0,0,0,0,5
186,,-2426.5055,,128,131,0,0,3,0,0,0,0,0,0,5
187,,-2426.0266,,128,131,0,0,3,0,0,0,0,0,0,5
188,,-2425.7039,,128,131,0,0,3,0,0,0,0,0,0,5
189,,-2425.4059,,128,131,0,0,3,0,0,0,0,0,0,5
190,,-2425.2925,,128,131,0,0,3,0,0,0,0,0,0,5
191,,-2425.2324,,128,131,0,0,3,0,0,0,0,0,0,5
192,,-2425.104,,128,131,0,0,3,0,0,0,0,0,0,5
193,,-2425.187,,128,131,0,0,3,0,0,0,0,0,0,5
194,,-2425.2974,,128,131,0,0,3,0,0,0,0,0,0,5
195,,-2425.9925,,128,131,0,0,3,0,0,0,0,0,0,5
196,,-2426.2571,,128,131,0,0,3,0,0,0,0,0,0,5
197,,-2426.6151,,128,131,0,0,3,0,0,0,0,0,0,5
198,,-2427.0041,,128,131,0,0,3,0,0,0,0,0,0,5
199,,-2427.4647,,128,131,0,0,3,0,0,0,0,0,0,5
200,,-2427.3875,,128,131,0,0,3,0,0,0,0,0,0,5
201,,-2427.4375,,128,131,0,0,3,0,0,0,0,0,0,5
202,,-2427.4632,,128,131,0,0,3,0,0,0,0,0,0,5
203,,-2427.178,,128,131,0,0,3,0,0,0,0,0,0,5
204,,-2427.0199,,128,131,0,0,3,0,0,0,0,0,0,5
205,,-2426.6745,,128,131,0,0,3,0,0,0,0,0,0,5
206,,-2426.6507,,128,131,0,0,3,0,0,0,0,0,0,5
207,,-2426.405,,128,131,0,0,3,0,0,0,0,0,0,5
208,,-2426.3686,,128,131,0,0,3,0,0,0,0,0,0,5
209,,-2426.2491,,128,131,0,0,3,0,0,0,0,0,0,5
210,,-2426.1426,,128,131,0,0,3,0,0,0,0,0,0,5
211,,-2426.0551,,128,131,0,0,3,0,0,0,0,0,0,5
212,,-2426.1904,,128,131,0,0,3,0,0,0,0,0,0,5
213,,-2426.3866,,128,131,0,0,3,0,0,0,0,0,0,5
214,,-2432.0568,,129,131,1,0,3,0,0,0,0,0,0,5
215,,-2432.3418,,129,131,1,0,3,0,0,0,0,0,0,5
216,,-2432.7478,,129,131,1,0,3,0,0,0,0,0,0,5
217,,-2433.2528,,129,131,1,0,3,0,0,0,0,0,0,5
218,,-2433.543,,129,131,1,0,3,0,0,0,0,0,0,5
