indx,T,PE,rU,nSi,nC,nacc_insSi,nacc_delSi,nacc_insC,nacc_delC,GammaO,Eslab,EbulkAgO,EbulkO,Phi,A,redPot
214,552.93801,-471.76384,,36,35,0,2,0,3,,,,,,,-36.785376
215,556.46496,-471.68382,,36,35,0,2,0,3,,,,,,,-36.705359
216,560.54664,-471.62057,,36,35,0,2,0,3,,,,,,,-36.64211
217,565.6859,-471.57913,,36,35,0,2,0,3,,,,,,,-36.600667
218,568.7507,-471.53194,,36,35,0,2,0,3,,,,,,,-36.553481
219,570.7255,-471.48883,,36,35,0,2,0,3,,,,,,,-36.510364
220,571.83502,-471.45227,,36,35,0,2,0,3,,,,,,,-36.473808
221,570.99671,-471.41274,,36,35,0,2,0,3,,,,,,,-36.43428
222,569.05333,-471.37785,,36,35,0,2,0,3,,,,,,,-36.399388
223,565.12627,-471.33917,,36,35,0,2,0,3,,,,,,,-36.360701
224,559.00518,-471.29392,,36,35,0,2,0,3,,,,,,,-36.315455
225,550.06586,-471.23488,,36,35,0,2,0,3,,,,,,,-36.256411
226,539.64192,-471.172,,36,35,0,2,0,3,,,,,,,-36.193535
227,532.04229,-471.14207,,36,35,0,2,0,3,,,,,,,-36.163607
228,528.49793,-471.15486,,36,35,0,2,0,3,,,,,,,-36.176395
229,527.42072,-471.19549,,36,35,0,2,0,3,,,,,,,-36.217023
230,525.21208,-471.23111,,36,35,0,2,0,3,,,,,,,-36.252647
231,517.27786,-471.21916,,36,35,0,2,0,3,,,,,,,-36.240698
232,504.48035,-471.16513,,36,35,0,2,0,3,,,,,,,-36.186663
233,491.41059,-471.10789,,36,35,0,2,0,3,,,,,,,-36.129424
234,483.37925,-471.09349,,36,35,0,2,0,3,,,,,,,-36.115023
235,482.746,-471.14278,,36,35,0,2,0,3,,,,,,,-36.164313
236,486.87545,-471.2325,,36,35,0,2,0,3,,,,,,,-36.254037
237,490.23099,-471.31341,,36,35,0,2,0,3,,,,,,,-36.334941
238,490.79346,-471.36757,,36,35,0,2,0,3,,,,,,,-36.389104
239,488.53227,-471.39453,,36,35,0,2,0,3,,,,,,,-36.416065
240,485.55597,-471.41282,,36,35,0,2,0,3,,,,,,,-36.434361
241,484.35583,-471.44464,,36,35,0,2,0,3,,,,,,,-36.466175
242,484.10157,-471.48237,,36,35,0,2,0,3,,,,,,,-36.503908
243,484.29493,-471.52154,,36,35,0,2,0,3,,,,,,,-36.543075
244,484.47753,-471.558,,36,35,0,2,0,3,,,,,,,-36.57954
245,484.68214,-471.59215,,36,35,0,2,0,3,,,,,,,-36.613686
246,483.94159,-471.61516,,36,35,0,2,0,3,,,,,,,-36.6367
247,482.85843,-471.63238,,36,35,0,2,0,3,,,,,,,-36.653912
248,481.84964,-471.64733,,36,35,0,2,0,3,,,,,,,-36.668866
249,482.73328,-471.67644,,36,35,0,2,0,3,,,,,,,-36.697973
250,484.41172,-471.70992,,36,35,0,2,0,3,,,,,,,-36.731454
251,484.33942,-471.72493,,36,35,0,2,0,3,,,,,,,-36.746469
252,481.57029,-471.7128,,36,35,0,2,0,3,,,,,,,-36.734337
253,478.66876,-471.6963,,36,35,0,2,0,3,,,,,,,-36.717835
254,475.74869,-471.67594,,36,35,0,2,0,3,,,,,,,-36.69748
255,472.8423,-471.65154,,36,35,0,2,0,3,,,,,,,-36.673074
256,470.70083,-471.62941,,36,35,0,2,0,3,,,,,,,-36.65095
257,470.49993,-471.61985,,36,35,0,2,0,3,,,,,,,-36.641384
258,473.25018,-471.63189,,36,35,0,2,0,3,,,,,,,-36.65343
259,480.29806,-471.67801,,36,35,0,2,0,3,,,,,,,-36.699545
260,493.95585,-471.78005,,36,35,0,2,0,3,,,,,,,-36.801584
261,513.04458,-471.92934,,36,35,0,2,0,3,,,,,,,-36.950876
262,534.92491,-472.10529,,36,35,0,2,0,3,,,,,,,-37.126822
263,555.358,-472.27398,,36,35,0,2,0,3,,,,,,,-37.295512
264,570.03388,-472.40111,,36,35,0,2,0,3,,,,,,,-37.422643
265,576.56229,-472.46883,,36,35,0,2,0,3,,,,,,,-37.490364
266,572.98581,-472.461,,36,35,0,2,0,3,,,,,,,-37.482537
267,559.95333,-472.38233,,36,35,0,2,0,3,,,,,,,-37.403863
268,539.14864,-472.24422,,36,35,0,2,0,3,,,,,,,-37.265759
269,512.58181,-472.05941,,36,35,0,2,0,3,,,,,,,-37.080944
270,483.6663,-471.8528,,36,35,0,2,0,3,,,,,,,-36.874335
271,455.97727,-471.65154,,36,35,0,2,0,3,,,,,,,-36.673077
272,433.41222,-471.48707,,36,35,0,2,0,3,,,,,,,-36.508608
273,420.54509,-471.39874,,36,35,0,2,0,3,,,,,,,-36.42028
274,419.53029,-471.40541,,36,35,0,2,0,3,,,,,,,-36.426947
275,429.53484,-471.49982,,36,35,0,2,0,3,,,,,,,-36.521359
276,446.71623,-471.64819,,36,35,0,2,0,3,,,,,,,-36.669729
277,467.55489,-471.82047,,36,35,0,2,0,3,,,,,,,-36.842011
278,489.81173,-471.99905,,36,35,0,2,0,3,,,,,,,-37.02059
279,510.52269,-472.16056,,36,35,0,2,0,3,,,,,,,-37.182098
280,525.88823,-472.27441,,36,35,0,2,0,3,,,,,,,-37.295946
281,535.11947,-472.33683,,36,35,0,2,0,3,,,,,,,-37.358362
282,538.629,-472.35379,,36,35,0,2,0,3,,,,,,,-37.375326
283,537.25666,-472.3339,,36,35,0,2,0,3,,,,,,,-37.355432
284,531.8479,-472.28463,,36,35,0,2,0,3,,,,,,,-37.306162
285,524.2076,-472.22125,,36,35,0,2,0,3,,,,,,,-37.24279
286,515.5936,-472.15363,,36,35,0,2,0,3,,,,,,,-37.175166
287,505.91931,-472.07919,,36,35,0,2,0,3,,,,,,,-37.100729
288,496.65669,-472.00949,,36,35,0,2,0,3,,,,,,,-37.031022
289,488.21185,-471.94644,,36,35,0,2,0,3,,,,,,,-36.967975
290,483.7848,-471.91768,,36,35,0,2,0,3,,,,,,,-36.939215
291,486.56608,-471.95149,,36,35,0,2,0,3,,,,,,,-36.973023
292,499.11145,-472.07164,,36,35,0,2,0,3,,,,,,,-37.093173
293,519.97351,-472.26734,,36,35,0,2,0,3,,,,,,,-37.288877
294,543.51651,-472.49163,,36,35,0,2,0,3,,,,,,,-37.513166
295,562.70926,-472.68583,,36,35,0,2,0,3,,,,,,,-37.707363
296,572.29615,-472.80665,,36,35,0,2,0,3,,,,,,,-37.828188
297,570.54011,-472.84021,,36,35,0,2,0,3,,,,,,,-37.861749
298,559.96852,-472.80815,,36,35,0,2,0,3,,,,,,,-37.829681
299,542.64829,-472.72557,,36,35,0,2,0,3,,,,,,,-37.747108
300,519.81222,-472.59857,,36,35,0,2,0,3,,,,,,,-37.620105
301,492.25633,-472.42841,,36,35,0,2,0,3,,,,,,,-37.44995
302,463.6544,-472.24261,,36,35,0,2,0,3,,,,,,,-37.264147
303,438.6673,-472.07918,,36,35,0,2,0,3,,,,,,,-37.100718
304,419.42977,-471.95502,,36,35,0,2,0,3,,,,,,,-36.976555
305,407.28289,-471.8812,,36,35,0,2,0,3,,,,,,,-36.902737
306,401.52021,-471.851,,36,35,0,2,0,3,,,,,,,-36.872531
307,398.95439,-471.83535,,36,35,0,2,0,3,,,,,,,-36.856881
308,399.62427,-471.83437,,36,35,0,2,0,3,,,,,,,-36.855905
309,404.63902,-471.85796,,36,35,0,2,0,3,,,,,,,-36.879499
